weeks;colonieslow;coloniesmed;colonieshigh;treeshea;treesatt;treedec;fields;temp;begincolonies
50;98;266;963;74792;74;8709;160000;20;1
50;97;317;1146;73714;79;10115;160000;20;1
50;128;325;1159;73691;99;10184;160000;20;1
50;256;561;2113;62468;183;21681;160000;20;3
50;222;539;1983;63511;178;20562;160000;20;3
50;196;365;1517;66411;179;17382;160000;20;3
50;355;836;3186;48931;292;34889;160000;20;5
50;371;1016;3795;46356;296;37179;160000;20;5
50;330;1011;3675;47176;272;36764;160000;20;5
50;299;1353;4401;33991;254;49438;160000;20;10
50;359;1008;3830;37207;323;46541;160000;20;10
50;393;1390;4923;26347;300;57257;160000;20;10
50;122;286;1119;73598;102;9736;160000;22;1
50;102;257;993;75131;83;8751;160000;22;1
50;79;168;615;76281;59;7390;160000;22;1
50;212;518;2121;62908;200;21100;160000;22;3
50;213;706;2530;58581;208;24934;160000;22;3
50;343;900;3288;54903;289;29095;160000;22;3
50;338;928;3493;46786;274;36773;160000;22;5
50;420;1124;3914;41546;329;42122;160000;22;5
50;321;1121;3988;44142;267;39423;160000;22;5
50;419;1566;5546;23092;344;60382;160000;22;10
50;344;1380;4795;30573;295;53115;160000;22;10
50;374;1684;5506;21878;312;61942;160000;22;10
50;45;57;265;75783;49;8105;160000;24;1
50;92;200;831;72715;83;11418;160000;24;1
50;109;328;1212;69471;117;14270;160000;24;1
50;274;1095;3850;44697;200;39025;160000;24;3
50;281;966;3332;45121;241;38591;160000;24;3
50;219;749;2864;49917;188;33817;160000;24;3
50;226;730;2449;47066;167;36947;160000;24;5
50;320;860;3232;37422;256;46353;160000;24;5
50;288;725;2645;41489;235;42513;160000;24;5
50;287;1077;3982;23075;237;60805;160000;24;10
50;197;1423;4534;17531;129;65926;160000;24;10
50;255;1258;4236;21600;215;62197;160000;24;10
50;64;269;967;70838;65;12879;160000;26;1
50;104;225;847;72221;81;11574;160000;26;1
50;118;304;1120;70485;96;13661;160000;26;1
50;250;1027;3455;46459;187;37154;160000;26;3
50;382;1093;3995;42403;295;41345;160000;26;3
50;280;729;2909;50187;259;33893;160000;26;3
50;282;1241;4145;33546;225;50317;160000;26;5
50;323;1145;3940;37090;254;46578;160000;26;5
50;246;1244;3962;37164;170;46687;160000;26;5
50;159;1276;3845;18804;159;64895;160000;26;10
50;344;1539;5265;15907;271;67888;160000;26;10
50;193;1145;3923;23063;159;61090;160000;26;10
50;185;651;2243;60943;171;22795;160000;28;1
50;198;663;2392;60640;146;23151;160000;28;1
50;155;631;2171;62261;145;21839;160000;28;1
50;144;611;2189;43054;134;40941;160000;28;3
50;245;814;2956;46651;165;36901;160000;28;3
50;199;484;1966;51675;167;32127;160000;28;3
50;162;789;2534;48038;119;35871;160000;28;5
50;308;1277;4349;28555;238;55415;160000;28;5
50;334;1113;4276;30498;296;52887;160000;28;5
50;99;1274;4038;10237;102;73616;160000;28;10
50;157;1672;5268;7557;151;76554;160000;28;10
50;244;1300;4429;13951;193;69994;160000;28;10
50;156;435;1510;67968;101;15757;160000;30;1
50;111;388;1226;70728;71;13409;160000;30;1
50;50;103;429;77942;36;6152;160000;30;1
50;187;486;1846;54262;157;29432;160000;30;3
50;209;764;2560;47053;168;36596;160000;30;3
50;121;361;1412;54950;111;29064;160000;30;3
50;115;672;2251;45867;102;38274;160000;30;5
50;152;894;2683;31562;149;52180;160000;30;5
50;278;1419;4555;27311;221;56637;160000;30;5
50;142;1092;3511;16563;134;67396;160000;30;10
50;49;1101;3369;3958;69;80012;160000;30;10
50;161;1153;3495;15851;140;68047;160000;30;10
50;166;656;2298;61344;156;22831;160000;32;1
50;167;673;2286;60202;156;23699;160000;32;1
50;146;505;1782;65059;115;18881;160000;32;1
50;292;1312;4217;37044;249;46738;160000;32;3
50;268;1287;4164;34364;200;49303;160000;32;3
50;182;837;2867;47393;141;36564;160000;32;3
50;281;1434;4716;29387;203;54503;160000;32;5
50;288;1385;4739;22572;252;61345;160000;32;5
50;240;1181;3986;19444;197;64484;160000;32;5
50;243;1386;4385;17212;208;66285;160000;32;10
50;114;1615;4806;5254;107;78931;160000;32;10
50;121;1507;4273;4446;88;79444;160000;32;10
50;143;628;2032;61883;122;21992;160000;34;1
50;165;615;2070;61958;126;22004;160000;34;1
50;196;667;2281;60585;175;22900;160000;34;1
50;189;760;2755;42415;160;41576;160000;34;3
50;189;676;2457;46565;172;37129;160000;34;3
50;249;1002;3248;39030;202;44625;160000;34;3
50;208;1142;3678;26379;208;57403;160000;34;5
50;219;1082;3311;32852;171;50846;160000;34;5
50;288;1050;3658;37456;222;46349;160000;34;5
50;260;1310;4015;18030;184;65759;160000;34;10
50;145;1055;3435;16440;145;67448;160000;34;10
50;198;1237;3870;5014;138;78731;160000;34;10
